filename,bundle,ext
18---16_18-Apr-2021_---__RE_ Comments for fact sheets sent..pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
18A__--- Review Memo-EUA 27034_12_9_2020.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
18__11_09-Dec-2020_---__RO_ --- preliminary inspection summary memo.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
19---19_18-Apr-2021_---__RE_.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
19__22-Nov-2020 --- _UI_ UO_ UI_ UO_ IR regarding differences in three 25-pack carton labels.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
1__0_09-Dec-2020_---_ OVRR Office Director`s memo that addresses obligations r.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
2---5_15-Dec-2020_---__RE_ In this amendment the sponsor is providing Response to FDA 23 Novemb.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
2.5__0_11-Dec-2020_---__RS_.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
20---21_18-Apr-2021_---__RE_ Comments for fact sheets sent..pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
20__23-Nov-2020 ---_UC_ UO_ UO_ UC_ 508-COMPLIANT SAFETY AND EFFICACY TABLES WITH   43K SUBJ.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
21---23_18-Apr-2021_---__RE_ Comments for fact sheet sent..pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
21__23-Nov-2020 --- _UE_ UO_ UE_ UO_ F-U T-CON TO DISCUSS THE SAFETY POP TO BE INCLUDED IN TH.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
22---26_18-Apr-2021_---__RE_.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
22__23-Nov-2020 --- _UI_ UO_ UO_ UI_ Asymptomatic shell table and questions - see EDR for ful.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
23---27_18-Apr-2021_---__RE_ Comments for fact sheet sent..pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
23__24-Nov-2020 --- _UI_ UO_ UO_ UI_ DISCUSSION POINTS FOR 11-25 T-CON ON DATASETS - see EDR.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
24---3_12-Mar-2024_---__RE_ This amendment contained the following documents_   1. A briefing docu.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
24__25-Nov-2020 --- _UK_ UK_.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
25---5_12-Mar-2024_---__RE_ This amendment contained the updated Briefing Document in support of t.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
25_25-Nov-2020 --- _UI_ CBER comments on Pharmacovigilance Plan were sent in an email mes.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
26---0_17-Apr-2021_---__RE_ Please see Division memo..pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
26__27-Nov-2020 --- _UO_ UI_ UO_ UI_ 5 CLINICAL QUESTIONS - see EDR for full communication..pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
27__27-Nov-2020 ---_UC_ Clarification to comment 2 on PVP sent on 11-25-2020 was sent in.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
2__0_11-Dec-2020_---__RP_---Discipline Review for EUA of BNT162b2.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
3---25_16-Dec-2020_---__RE_ Response to December 10_ 2020 IR.    On December 10_ 20.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
3__01-Dec-2020---_UI_ UI_ UO_ UO_ STATISITCAL IR REGARDING DATASETS - see EDR full com.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
4__01-Dec-2020---_UO_ UO_ UI_ UI_ IR   response RE QC REVIEWED FINAL DRAFT REPORT FOR DART.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
5---0_17-Dec-2020_---__RP_---CMC Review Memo.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
5__1_23-Nov-2020_---__RE_ Narratives and CRFs for all SAEs and Study discontinuati.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
6---0_18-Dec-2020_---__RO_ ---EUA LR PI_FACTS_CARTON.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
6A---LR_IND_19736.134_EUA_27034_FullPI_---.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
7__1_EUA_20-Nov-2020 --- _UI_ UO_ UO_ UI_ REQUEST FOR A STATUS UPDATE WHEN SARS-COV-2 NAAT DATA FR.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
8---1_18-Apr-2021_---__RE_ See Division EUA review memo for summary..pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
8__02-Dec-2020 ---_UI_ UO_ UI_ UO_ IR regarding Bell`s palsy and the Active surveillance st.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
9---3_18-Apr-2021_---__RE_ Comments sent for Fact sheet. (15).pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
9__02-Dec-2020 --- _UI_ UO_ UO_ UI_ --- Information Request _missing information_ - see EDR.pdf,4._EUA_LARD_Material_CBER_Correspondence.zip,.pdf
125752_S1_M4.2.1.1 report-body-mod-3937.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.1.1 report-body-mod-4112-1273.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.1.1 report-body-utmb01.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.1.1 report-body-vrc01.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.1.1 report-body-vrc02.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.1.1 report-body-vrc04.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.1.1 report-body-vrc05.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.1.1 report-body-vrc07.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.1.1_report-body-mod-3938-mod-3940.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.3.3.1 report-body-9601035.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.3.3.1 report-body-9601036.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.3.3.1 report-body-9601567.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.3.3.1 report-body-9601568.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.3.3.2 report-body-9800399.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.3.3.af87fu-125012nglpich-btl.pdf,A._BLA_Material.zip,.pdf
125752_S1_M4.2.3.7.2 report-body-2308-123.pdf,A._BLA_Material.zip,.pdf
125742_S136_M5_smsr-01sep2021-30sep2021.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M1_2.5 Clinical Overview_reissue.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M1_2.7.3 Summary of Clinical Efficacy.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M1_2.7.4 summary-clin-safety.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M1_4.3 Literature References.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M1_5.2 listing of clinical sites and cvs pages 1-41.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M1_5.2 tabular listing.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M1_5.3.6 postmarketing experience_reissue.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M1_Pages 42-289-Section 5.2 - listing-clinical-sites-cvs_Part A.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M1_Pages 42-289-Section 5.2 - listing-clinical-sites-cvs_Part B.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_5351_bnt162-01-interim3-referenced-pub.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_agresti-a-2002.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_anderson-r-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_biggerstaff-m-2015.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_kamphuis-e-2006.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_kirchdoerfer-rn-2018.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_kranz-lm-2016.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_lambert-ph-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_miettinen-o-1985.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_moyo-n-2019.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_mulligan-mj-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_onder-g-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_pallesen-j-2017.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_pardi-n-2017.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_vogel-ab-2018.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_vogel-ab-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_walsh-ee-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_wiersinga-wj-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_wrapp-d-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_wu-z-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S1_M5_54_zhu-n-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_akinc-a-2010.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_andries-o-2015.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_ashworth-iw-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_baba-m-2017.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_badmington-f-1995.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_badran-m-2014.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_baer-e-1950.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_baliey-al-2000.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_ball-d-2007.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_ball-rl-2017.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_beverly-m-2018.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_bulbake-u-2017.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_chen-m-2011.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_clopper-cj-1934.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_danaei-m-2018.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_diamond-ms-2014.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_dieffenbach-cw-1993.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_gay-sc-2010.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_guhaniyogi-j-2001.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_habjan-m-2013.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_hassett-kj-2019.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_hoffmann-m-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_james-jm-1998.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_jayaraman-m-2012.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_jeffs-lb-2005.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_kariko-k-2008.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_kasper-jc-2013.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_kesten-2017.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_kozak-m-1987.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_kuzmine-i-2003.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_li-h-2009.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_muralidhara-k-1991.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_muruato-ae-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_nicholson-al-2019.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_orlandini-ag-2019.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_ota-y-2006.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_putri-dc-2017.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_ramanathan-a-2016.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_reichmuth-am-2016.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_rejman-j-2004.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_richner-jm-2017.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_semple-sc-2010.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_shang-j-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_siepi-e-2011.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_silvius-jr-1993.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_til-hp-1997.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_tuncay-k-2012.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_urban-p-2018.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_walser-m-1961.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_xie-x-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_yoon-hj-2008.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M3_33_zhao-p-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_argenziano-mg-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_azar-kmj-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_booth-a-2021.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_bouffanais-r-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_burke-rm-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_carfi-a-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_cummings-mj-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_dai-cl-2021.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_feldstein-lr-2021.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_gandhi-rt-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_gold-jaw-rossen-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_gold-jaw-wong-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_graham-bs-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_greenhalgh-t-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_hawkins-d-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_haynes-bf-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_holmes-l-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_horwitz-li-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_hur-k-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_iaccarino-g-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_iavarone-c-2017.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_izcovich-a-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_jones-s-2021.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_kelly-ms-2021.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_leidman-e-2021.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_malas-mb-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_nguyen-lh-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_nowak-b-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_openshaw-pj-2001.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_pardi-n-2018.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_petrilli-cm-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_pollock-am-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_price-haywood-eg-2020 .pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_rao-gg-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_richardson-s-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_rossen-lm-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_sahin-u-2020.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_toba-n-2021.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_willi-s-2021.pdf,A._BLA_Material_1.zip,.pdf
125742_S2_M5_54_williamson-e-2020.pdf,A._BLA_Material_1.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3102052.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3102061.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3102082.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3102283.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3102311.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3132004.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3132019.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3132037.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3132046.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3132084.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3132111.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3132138.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3132149.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3152025.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3152037.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3152118.pdf,C._BLA_CRF_Material.zip,.pdf
125752_S3_M5_CRF_mrna-1273-p301-us3152136.pdf,C._BLA_CRF_Material.zip,.pdf
125742_S1_M5_CRF_c4591001-CFRs for site 1055.pdf,D._CRF_Material.zip,.pdf
125742_S1_M5_CRF_c4591001-CRFs for site 1081_reissue.pdf,D._CRF_Material.zip,.pdf
125742_S1_M5_CRF_c4591001-CRFs for site 1096.pdf,D._CRF_Material.zip,.pdf
125742_S1_M5_CRF_c4591001-CRFs for site 1128_reissue.pdf,D._CRF_Material.zip,.pdf
11_BLA 125752-0_09-27-2021_Memo_Committee Memo_---.pdf,D._LARD_Material_CBER_Correspondence.zip,.pdf
72_BLA 125752-0_01-03-2022_Memo_Committee Memo_---.pdf,D._LARD_Material_CBER_Correspondence.zip,.pdf
77_BLA 125752-0_01-10-2022_Memo_Committee Memo_---.pdf,D._LARD_Material_CBER_Correspondence.zip,.pdf
13_BLA_125742-0_07-02-2021_Committee Memo_---.pdf,E._LARD_Material_CBER_Correspondence.zip,.pdf
2_BLA 125742-0_05-18-2021_Telecon_Information Reques.pdf,E._LARD_Material_CBER_Correspondence.zip,.pdf
50_BLA 125742-0_08-06-2021_Memo_Committee Memo_---.pdf,E._LARD_Material_CBER_Correspondence.zip,.pdf
019736_S185_M1_1571.pdf,F._IND_Material.zip,.pdf
019736_S185_M1_cover.pdf,F._IND_Material.zip,.pdf
019736_S185_M1_smsr-01dec2020-31dec2020.pdf,F._IND_Material.zip,.pdf
019736_S214_M1_1571.pdf,F._IND_Material.zip,.pdf
019736_S214_M1_cover.pdf,F._IND_Material.zip,.pdf
019736_S214_M1_smsr-01jan2021-31jan2021.pdf,F._IND_Material.zip,.pdf
019736_S243-smsr-01feb2021-28feb2021.pdf,F._IND_Material.zip,.pdf
019736_S243_M1_1571.pdf,F._IND_Material.zip,.pdf
019736_S243_M1_cover.pdf,F._IND_Material.zip,.pdf
019736_S289_M1_1571.pdf,F._IND_Material.zip,.pdf
019736_S289_M1_cover.pdf,F._IND_Material.zip,.pdf
019736_S289_M1_smsr-01mar2021-31mar2021.pdf,F._IND_Material.zip,.pdf
019736_S335-M1_smsr-01apr2021-29apr2021.pdf,F._IND_Material.zip,.pdf
019736_S335_M1_1571.pdf,F._IND_Material.zip,.pdf
019736_S335_M1_cover.pdf,F._IND_Material.zip,.pdf
019736_S366_M1_1571.pdf,F._IND_Material.zip,.pdf
019736_S366_M1_cover.pdf,F._IND_Material.zip,.pdf
019736_S366_M1_smsr-30apr2021-31may2021.pdf,F._IND_Material.zip,.pdf
019736_S369-dsur-22apr2020-21apr2021.pdf,F._IND_Material.zip,.pdf
019736_S369_M1_1571.pdf,F._IND_Material.zip,.pdf
019736_S369_M1_cover.pdf,F._IND_Material.zip,.pdf
019736_S408_M1_1571.pdf,F._IND_Material.zip,.pdf
019736_S408_M1_cover.pdf,F._IND_Material.zip,.pdf
019736_S408_M1_smsr-01jun2021-30jun2021.pdf,F._IND_Material.zip,.pdf
019736_S453_M1_1571.pdf,F._IND_Material.zip,.pdf
019736_S453_M1_cover.pdf,F._IND_Material.zip,.pdf
019736_S453_M1_smsr-01jul2021-31jul2021.pdf,F._IND_Material.zip,.pdf
019736_S491_M1_1571.pdf,F._IND_Material.zip,.pdf
019736_S491_M1_cover.pdf,F._IND_Material.zip,.pdf
019736_S491_M1_smsr-01aug2021-31aug2021.pdf,F._IND_Material.zip,.pdf
1_IND_19736_185_23-Feb-2021_---_RO_.pdf,F._IND_Material.zip,.pdf
2_IND_19736_214_03-Mar-2021_---__RO_.pdf,F._IND_Material.zip,.pdf
3_IND_19736_243_19-Mar-2021_---__RO_.pdf,F._IND_Material.zip,.pdf
4_IND_19736_289_27-Apr-2021_---__RC_.pdf,F._IND_Material.zip,.pdf
5_IND_19736_335_19-May-2021_---__RC_.pdf,F._IND_Material.zip,.pdf
6_IND_19736_366_24-Jun-2021_---__RO_.pdf,F._IND_Material.zip,.pdf
7_IND_19736_409_26-Jul-2021_---__RO_.pdf,F._IND_Material.zip,.pdf
8_IND_19736_453_26-Aug-2021_---__RO_.pdf,F._IND_Material.zip,.pdf
9_IND_19736_491_29-Sep-2021_---__RO_.pdf,F._IND_Material.zip,.pdf
125742.0.0 LARD.pdf,G._Additional_Material.zip,.pdf
125742.0.0 Snippets from Comirnaty BLA Original Submission Section 5.pdf,G._Additional_Material.zip,.pdf
125742.0.0 eCTD Sections 1 & 2 & 4 & 5.3.1.pdf,G._Additional_Material.zip,.pdf
1---132_09-Apr-2021_---__RE_ EUA Amendment to expand the emergency use of Pfizer-Bi.pdf,Pfizer_BioNTech_Comirnaty_12-15_COVID_Vaccine_Related_Records_-_FOIA.zip,.pdf
12---160_03-May-2021_---__RE_ In this amendment_ Pfizer submitted the revised Fact S.pdf,Pfizer_BioNTech_Comirnaty_12-15_COVID_Vaccine_Related_Records_-_FOIA.zip,.pdf
125742-45_05-11-2022_Memo_Committee Memo_---.pdf,Pfizer_BioNTech_Comirnaty_12-15_COVID_Vaccine_Related_Records_-_FOIA.zip,.pdf
125742-45_06-10-2022_Memo_Committee Memo_---.pdf,Pfizer_BioNTech_Comirnaty_12-15_COVID_Vaccine_Related_Records_-_FOIA.zip,.pdf
13---161_03-May-2021_---__RE_ Response to April 30_ 2021 clinical---- IR regarding p.pdf,Pfizer_BioNTech_Comirnaty_12-15_COVID_Vaccine_Related_Records_-_FOIA.zip,.pdf
17---132_06-May-2021_---_RS_ Statistical memo.pdf,Pfizer_BioNTech_Comirnaty_12-15_COVID_Vaccine_Related_Records_-_FOIA.zip,.pdf
20---132_07-May-2021_---__RO_.pdf,Pfizer_BioNTech_Comirnaty_12-15_COVID_Vaccine_Related_Records_-_FOIA.zip,.pdf
27---132_20-Jul-2021_---__RE_ Pfizer submitted this amendment to the EUA to extend the authori.pdf,Pfizer_BioNTech_Comirnaty_12-15_COVID_Vaccine_Related_Records_-_FOIA.zip,.pdf
